Bahnaric,Vietnamese
char,con cáo
rơmo,bò
rơmô,bò
char,nảy
ôih,bò
mơmo`,bò
char,vẽ hình
pơpan,bò
chau,chào
chau au,dây hà thủ ô
rơrno,bò
top,bò
lômo,bò
mo,bò
che,váy
năm,bò
che dei lôn,váy ống
che hrăp bơ̆jang,váy mặc lao động
che hơ băn,váy quần
che hơ bĕn,váy quần
che oei lôm,váy ống
cheh,cán
cheh,nở
cheh,nứt
cheh,so
cheh,đẻ
cheh chăn,một loại ghè
cheh dŏk,một loại ché
cheh eba,một loại ché
cheh pơnhan,nói chung các ché bằng sành sứ
chek,gạch đường
ragmŏ,bò
'bă,bố
cheleng,vùng đất bằng phẳng
chem,bò húc đất
chem,quây
bă,bố
'ba,bố
chen,li
chen ner,cái đẹp làm bằng hai thanh tre
chen ner,đẹp làm bằng hai thanh tre
cheng,bằng
cheng,bệnh kinh phong
cheng,cái
cheng,lảo
cheng leng,tiếng cười rộn rã cô gái
b`a,bố
cheo,khoét
chep,chép
b`ă,bố
chep,cá ghép
cher,dày
cher,loại gỗ mềm thường làm đế gùi
cher,nhận vào
cher,rèn
chet,sắc
chet,xắt
cheu,dùi
cheu,khoét
cheu,ngoáy
chi,chỉ
chi,cây viết chì
chi wi cha wa,vùng vằng
chich,chích
chich,một loại dây rừng
hơ,bố
ma,bố
roi,bố
chih,tranh
chih,viết
chih,vẽ
chih,xăm
bô̆,bố
chik,nhe răng
chik,thơm
chik,trái
chik,trái thơm
'ba,bồ
ching,cái chiêng
kơtơp,bồ
lơmo,bồ
chinh,chính
chiu,có cảm giác
chiêm,chèn
chiêm,chêm
chiêm,cài
chiêm,dắt
chiêm,gài
pơyô,bồ
rơi,bồ
chiêu,cái chiếu
chiêŭ,chiếu phim
cho,bệnh thấp khớp
cho,thấp
tang,bồ
tuaih,bồ
gui,bồ
choai,quấn dây chéo qua chào lại
choang,chuông nhỏ
hrêu,bồ
choch,loại cá bống nhỏ
choh,chọt
kơ,bồ
choh,le
choh,mổ
choh,quay
choh,răm
choh,thiếu
choh kroh,sột soạt
choh kroh,tiếng sột soạt
choh wong,nhảy chồm lên
chohom,chơhoih
choi,chọt trỉa
choi,trỉa
chok,học
lom,bồ
chok,đấm
chok teb,kinh
chol,cay
chol mol,lủi thủi quay về
'ngik,bọ
chong,phát dọn
chong,trái ư
chong,ươi
'ngưk,bọ
chonh,mua
chop,rình
chop,rình mò
chop,rón rén
kơnôh,bọ
chor,mòn
chor,mạnh máu
kơnơr,bọ
chor,đào
chor bong,một loại chim có lông dài trên đầu
chor bong,đào mương nước
choă,chộp lấy
choă,đan
choăn,gác lại
choăng,phóng đi rất nhanh
nôr,bọ
choơikoi,con cheo
chra,rực
chrach,xoẹt
chrah,nhúng
chrah,rải
pơng,bọ
tĕk,bọ
chraih,cào
chraik hơwak,nói bắt quàng
chraik hơwak,trật
chral,lánh
chral,ít
yă,bọ
chrang,giọng to và rè
chrang,soi
chrau,cái đơm bằng gai mây cá chui vào mà không ra được
chrau,hóa ra
chrau,đơm bằng gai mây cá chui vào mà không ra được
chre,tỉa
chrech chroch,chỉ kẻ trước người sau
chrek,khắc
chrek,vạch
drông,bọ
chrel,thưa
chreo,chim sáo
chrih,lạ làng
chrih,tuyệt
chring,lạc
chro,chìa tay
chro,lo
chro pơlang,tiếng chim bồ chao hót
chro đon,nghĩ
chroah,lóc
chroh,bị tiên chảy
chroh,ỉa chảy
chroih,rạch thành đường nhỏ
chroih,trật
chrok,hóa
chrok hơwok,nói bắt quàng
chrot,thành luồng
hơrâng,bọ
chruah,lóc
chruh,ăn
ngưk,bọ
chruh đak,tưới
chruih,tưới
chrup,lặn xuống
chrup,từ từ đâm thân qua hay lặn xuống nước
'bơ,bờ
chruơng,thành luồng
chruơt,thành hàng
chrâu,hoa ra
daih,bờ
chrêl,lấp
chrêu,hoa ra
chrôch chrach,rĩ nước
chrôih,kém
chrôih,trật
chrông,khâu
chrông,đặt lên cao
chrô̆ chrô̆,nước chảy sối xả
hang,bờ
chră,soi
chrăm,bừa bãi
jaih,bờ
jih,bờ
chrĕ,võn vẹn
keng,bờ
chrĭ,hôi hám
chrĭk chrŭk,tiếng chày giã gạo thình thịch
chrĭng,khác
chrĭng,thường
chrŏi,chỉ nước vọt ra ít
chrŏi,vọt ra
chrŏm,"tiếng ""tõm"" của vật nhỏ rơi xuống nước"
chrŏm,tiếng tõm của vật nhỏ rơi xuống nước
chrŭk chrŭk,tiếng róc rách
chrŭm,tiếng ùm của vật lớn nhảy hay rơi xuống nước
chrŭp,"tiếng ""tõm"" của vật nhỏ nhảy xuống nước"
chrŭp,tiếng tõm của vật nhỏ nhảy xuống nước
chrơch,hoa ra
chrơu,reo vang
chrơ̆ch chrăng,rừng có nhiều cây lớn và thẳng tắp
chrơ̆t chrăt,dai
chrơ̆t chrăt,tiếng sừn sựt khi nhau thức ăn dai cứng
chrưl chrưl,nổi lành bềnh
kơmŭch,bờ
chu,sùi
chu chi,cố gắng hết sức
chu chi,vò trong tay
chua,sãi
tih,bờ
chuak,rút ra một cách nhẹ nhàng
chuam,lem
chuang,chuông nhỏ
chuar,loại cây có gai
chuat,nỗi vân
chuat,nỗi vân  nói vết lằn
chuet,uốn vành giỏ
‘fĭ,bờ
chuh mŭm,ngã chúi mặt
‘jih,bờ
chuih,trui
chuk,có khoang trắng
chuk,một loại chuột
bơnơ̆,bờ
chum lơlum,ngã chúi mặt
chum mum,ngã chúi mặt
chup,chồm lên
chup,lặn xuống
chup,từ từ đâm thân qua hay lặn xuống nước
chup,vồ
chur,chui
chut,lau
chuêng,hóa ra
chuêng,nói bất quang
chuêng,thật
chuêt,trả
chuêt,trở
bơnỡ,bờ
bơ̆,bờ
chuă,chộp lấy
pơmơ̆,bờ
chuăk,móc
chuăk,nhảy vọt lên khỏi mặt nước
chuăk,đan
chuăl,quấn dây
chuăn,gác lại sau
chuăr,nhảy vọt lên khỏi mặt nước
chuăr,thức ăn kỵ nhau khi trộn chung
chuĕch,chớp lấy
pơnơ̆,bờ
bơ,bờ
chuơ,sãi
'brẽk,bộ
chuơk,rút ra một cách nhẹ nhàng
'bô,bộ
chuơt,nỗi vần
chuơ̆k,nhảy vật lên khỏi mặt nước
chuơ̆r,nhảy với lên khỏi mặt nước
châm,chấm
chê,chê
chê,chê bai
chê,khing
adrơ,bộ
bô,bộ
chê rơwêk,sinh sắc nhiều
chêk,chồn lớn có lông vằn
chêk,ngã
chêk,phát
chêk,phát triển
chêk,sinh
bô̆,bộ
chĭng,bộ
chêng,lảo
gia,bộ
chêng,mã la
chêng grêng chê grê̆,lảo đảo
chêng klêng chang klang,đổ xuống từng mãng
'bô̆,bộ
chêng tơ bŭ,mã la
anih,bộ
chêng êng chang ang,khêng khạng
b`ô`,bộ
chêr,óng ánh
chô,buộc
chôh,nở
jâng,bộ
tơduă,bộ
chôh krôh,tiếng sột soạt
chôi,không quen
chôih,thử xem
chôk,hiện nhà
tơla,bộ
chôk chak,bướm trán khoang chân
tơm,bộ
chôl,lảo
chôl mơmôl,lại thôi quay về
chông,chèo
chông,sành
chôr,mòn
chôt,trở
chôt,trở về
chô̆,buộc
chô̆,bó
chô̆,cột
chô̆,miễn
chô̆,trói
chô̆,đeo
chô̆ caravat,đeo
chô̆ klêng,cột thật chặt chân vật
chô̆ kêt,cột thật chặt đầu vật
chô̆ pơ gơt,buộc
chô̆̆,buộc
chă,chạy
chă,câu
chă,kiếm
đăng,bộ
chă,lằn
chă,một loại chim
chă,suy
chă,săn
chă,tìm
chă,tìm kiếm
chă druh,đuổi
chă jơluk jơlăk,sục sạo
chă ruih,soát
chă wă alê̆,tìm hiểu
chăk,là
chăl,chặt thành khúc ngắn
chăl,chẻ
‘bô,bộ
chăl,trả lại
chăm,chăm
pơnơ̆ đak sĭ,bờ biển
chăm,giống lúa thơm
chăm,để ý
chăm phĕch,chấm
chăm phĕch,dấu chấm phẩy
chăn,bẫy tập để bắt cá
chăn,trái chanh
chăn be,loại bọ có nước đái làm phỏng da
chăn be,phỏng
chăn lă,dây tròn
chăng,kệ
chăng,mặc kệ
aguõt,bọ cạp
chăng hơ,mặc kệ nó
aguăt,bọ cạp
chăr,chẻ
chăr,nứt nẻ
yă aguôt ,bọ cạp
chăt,mọc
chăt,nảy mầm
chăt lom,kéo da non
kơtơp,bồ câu
chĕch,chỉ mực nước bất đầu dâng lên
chĕch,cắn ăn
chĕk,thọc léc
chĕk lĕk,gần thóc khỏi gạo
chĕk lĕk leu,thọc léc
kơtơp ,bồ câu
'bă tơnăi,bố chồng
chĕl,ngoại tình
chĕl,phóng
chĕn,cái ly
chĕn,cắn
chĕn,dính
'bek,bò có mắt bét móng hồng
chĕng,ngăn chia
chĕng chĕp,khoảng trống dưới đồng dông nhà
chĕng lĕng,nghiêng
li`nh,bộ đội
chĕp,bưng
chĕp,cầm
chĕp,dẫn
chĕp,dắt
chĕp,ghi
chĕp,giữ
chĕp,nhấc
chĕp,nằm
chĕp,xách
chĕp hĕp,hẹp
chĕp lơ̆m 'don,thuộc lòng
chĕp tơ'nhơĭ,nhấc
lĭnh,bộ đội
chĭ,đi đi
chĭch,giằm nát
'bô đôi,bộ đội
chĭl,trả nợ
chĭn,bệnh phong
bărong,bố dượng
met oei kơ mĕ,bố dượng
nho,bố dượng
ma,bố dượng
'bă yăng,bố dượng
chĭng klơk,đần tơ rưng
chĭng kri,lai
chĭng tôk păng ti,mã la
chĭnh,chính
chŏi,ném
chŏl,chỉ
chŏng,cho cào xanh và to
chŏng,còng
chŏng,héo
chŏng,nhưng
chŏng hŏp,hẹp và sâu
chŏng wŏng,cong
chŭ,bệnh đậu mùa
chŭ,chấm
klanh,bọ gậy
chŭ,miễn
tĕk wĕk,bọ gậy
chŭ,thằn
chŭ chă,con thần lần
chŭm,hôn
chŭn,chỗ sông uốn khúc
chŭng,cùng nhau
chŭng,kiến vàng có cánh xuất hiện sau cơn mưa lớn
chŭp,vốc
chŭp,vồ
chŭp mui,ngã chúi mặt
chŭr chŭr,chim đáp muỗi
chŭr chŭr,tiếng chim đáp muỗi kêu
chŭt,lom
arơ̆ng,bọ hung
chŭt,sụt
chŭt,đẩy củi vào cho cháy
chŭt lŭt,ngã chúi mặt
chơ,chở
pơng,bọ hung
'ngưk ich,bọ hung
chơ,hôi
kơ'doih kơ'doih,bò la bò lết
chơ,nảy
chơ,nực
kơdôih kơ'dôih,bò la bò lết
jrai,bộ lạc
mơmaĭ,bọ mạt
adrơ,bộ mặt
jâu,bọ ngựa
chơ le kơ vang đon,khuyên tai
chơ lơ la,chỉ mệnh lệnh hay yêu cầu
tơnung kiẽk,bọ ngựa
jih bơgal,bờ rào
chơ đŏk hơ tăi,dữ
chơ'ba,cháng cây
jih krong ( hang krong,bờ sông
chơ'bang,cái bàn
jih đak krong,bờ sông
chơ'beh,khêu
chơ'beng,chồi
chơ'blĕng,một loại ghè
bơ nơ̆ glung,bờ sông
bơnơ̆ đak krong,bờ sông
pơ nơ̆ krong,bờ sông
chơ'bră,bừa
chơ'bră,vỏn vẹn
'bă tơnăi,bố vợ
chơ'brơ̆,bừa
chơ'brơ̆ chơ'bră,vật lớn để bừa bãi trên đất
bă tơnăi,bố vợ
chơ'bơ,há học miệng
chơ'doi,chổng mông
chơ'don,một loại ghè
chơ'duh,tấm gỗ dựa
chơ'dŏ,sừng tơ giác
chơ'dŏk,gắt
chơ'lŭt,xô
chơ'miơm,nằm dài
chơ'mlơ̆k,chỉ tư thế đứng thẳng nằm thẳn
chơ'mlơ̆k,tư thế đứng
chơ'mok,chỉ ngồi hay đứng im thin thít
chơ'mron,nổi
chơ'mronh,e dè
chơ'mŭp,chỉ ngồi hay đứng im thin thít
chơ'măi,lem
chơ'mĕ chơ mŏ,dọn trai gái đi gom củi cháu về
chơ'mĕ chơmŏ,dọn trai gái đi gom củi cháu về
chơ'mơ̆r,thẳng băng
chơ'net,nằm có quắp
chơ'ngang,ưởn ngực
chơ'ngit,đỏ sậm
chơ'ngăk chơ'ngưt,nhiều vật nổi rõ trên bề mặt
chơ'ngơ̆l chơ'ngăl,nhiều vật nổi rõ trên bề mặt
chơ'ngơ̆r,chỉ cá đứng một chỗ
chơ'ngưi,thấy rõ
chơ'nhat,nheo
chơ'nhot,nhăn
kơlăng hăng,bọ xít
chơ'noih,năm dài
chơ'nong,nằm dài
chơ'nôih,dài
chơ'nông,năm dài
chơ'năk,nằm
chơ'năk chơ'nôih,hai người  nằm dài trên mặt đất
chơ'năk chơ'nôih,hai người nằm dài trên mặt đất
chơ'rĕ,cầm trong tay
chơban,một loại ghề
chơblong,chỉ vật có hình sáng thon dài
chơbo,một loại ghè
chơbom,một loại ghè
hlum,bói cá
chơbra,nằm
chơbrai,chỉ râu dài lưa thưa
chơbram,chỉ râu dài lưa thưa
hlum ,bói cá
chơbroi,có chòm râu thưa
chơbrua,rực
'bôm,bom
chơbrôi,có râu rậm và dài
chơbrơm,râu ria xồm xoàm
chơbrơ̆p,loại cây gỗ cứng có hoa tím
chơbôi,làm hại
chơbôi,vi chuẩn làm hại răng
chơbăp,và vào mồm
chơbŭ,một nắm tay
chơbŭ,đấm
chơcha,nói lải nhải
chơchap,chỉ cá lớn lúc thúc trong giỏ hoặc nước cạn
chơcheh,cời than cho hồng
chơchoh,băm
chơchral,chỉ hai
chơchrô̆,chỉ nước chảy lai sáng
chơchrŭk,chỉ nước đổ xuống ào ào
chơchrưl,chỉ vật nổi lành bềnh trên mặt nước
chơchui,nóng hổi
chơchur,chui rúc
b`ôm,bom
chơchă,tìm
chơchŏk,nhữ môi
chơchơh,đánh vần
chơchơng,dắt đi từ từ
chơchơ̆ng,chặt đứt
chơchơ̆p,đánh vần
chơchơ̆t,chơchoh
chơchưi,chỉ mức nước dâng lên
chơdah,gần sáng
chơdah,nồi đất bể còn nửa dướ
chơdeh,món thịt bò băm
chơdraih,cào làm bằng tre có răng để cào rác rến
chơdraih,cái cào làm bằng tre có răng để cào rác rến
chơdram,cây cháu chưa hết
chơdreh,tiếng đất
chơdreng,một loại cây rừng
chơdro,chỉ em bé nhe răng cười
chơdroi,khác sông có đá
bôm,bom
chơdruch,út
chơdrô,chỉ người lớn nhe răng cười
chơdrăng 'nhaih,que nhựa dính để bẫy chim
pơda,bom
chơdŭ,loại chuối có trái kép
lu,bon
chơdư,khùng
chơgaih,sạch sẽ
chơgal,gài theo
chơgong,cái gáo
chơgong,gáo
chơgra,chỉ một người nằm ngữa
chơgra,hai
chơgrih,một loại ghè
chơgrih,ởn định và hạnh phúc
chơgrin,một loại ghè
chơgron,nổi
chơgrê,chỉ một người nằm ngữa
chơgrê chơgra,chỉ nhiều vật lớn
chơgrôn,nhô lên
chơgrô̆i,chỉ một người nằm ngữa
chơgrô̆i chơgrăi,chỉ nhiều vật lớn
chơgrăk,chỉ
chơgrŏi,chơgrăk chơgra
chơgrŏn,chỉ trói quặt tay sau lưng
chơgrơ,chỉ người
chơgrơ chơgra,nhiều người lớn
chơgôih,chỉ người cao to
tuh lot,bón lót
chơgăn,ngăn chia phòng
bống lõng,bóng
bỗng lồng,bóng
drau,bóng
hla,bóng
chơgŏng,cứng đơ
chơgơi,chim chàng ràng
chơgơu,con gấu
hlơ,bóng
chơgơ̆ng,chỉ vật nhô ra thẳng đứng
chơgơ̆ng,nhô ra
chơgơ̆ng,đờ
chơgơ̆t,chống mạnh
chơhah,chỉ há hóc miệng
chơhah,hóc
chơhai,thác
chơhai,tiếng thác đổ
chơhep,hẹp
chơhlang,kềnh
chơhleng,mịt
hơhlông,bóng
koi,bóng
pul,bóng
chơhmŏk,cái muỗng
yui,bóng
'biônh,bóng
chơhmŏng,chơhmŏk
chơhngir,cào làm bằng tre
chơhning,che
chơhning,chắn
chơhnoi,luôn
'bŏng,bóng
chơhnot,dác gỗ
chơhoa,tiếng thác đổ
chơhoh,trống
chơhoi,ống nứa đặt ở quan tài để nuôi người chết
chơhoi,ống nứa để uống rượu
chơhoih,khuya mặt hình trái xoan
b`o`ng,bóng
biônh,bóng
chơhŭk,sâu hóm
chơhôh,chỉ há hóc miệng
chơhôh,hóc
chơhĕng,bực mình
chơihop,thung lũng này sâu và hẹp
chơikrôi,bẩn thỉu và lôi thôi lếch thếch
chơjuĕk,nhọn hoắt
chơjŭnh,đầy lông lá
bŏng,bóng
chơjĕng,vắng tanh
chơjŏk,phiền
chơjŏk,than phiền
chơkang,sửa soạn chè rượu để uống
chơke,lúa xà cơn
bỏng,bóng
chơkeh,hất bằng cây
chơkeh,trả giá quá rẻ
chơkem,gói ghém trộn chung
chơkeng,xô đẩy
chơkep,cái đẹp gấp
chơkep,gắp
chơkep,kéo
chơkep,đẹp gấp
chơkhang,kềnh
chơkhong,nhô ra
chơkhong,đẹp
chơkhot,cao chót vót
glơh,bóng
chơkhông,đẹp
chơkhôt,cao chót vót
lŏng,bóng
chơkhŏng,trống không
chơklêng,kềnh
milông,bóng
chơklô,chỉ lưng còng
chơklĕk,đan dày và kín
chơklŏm,nhỏ và lõm xuống
chơkoai,chơkoi
chơkrau,khô
chơkre,chỉ nhánh tỏa ra
chơkreh,khô trụi lá
chơkring,một loại ghè
chơkrui,xồm xoàm
chơkrŭ,vứt
chơkrŭ chơkră,vứt bỏ nhiều vật không dùng đến
chơkrŭi,khom
milônh,bóng
chơkrŭt,dày cộm
chơkrêh chơkrah,còn để lại dấu chân
chơkrêu,lều khều
chơkrê̆,chỉ còn để lại dấu chân
chơkrôi,chỉ cách đi đứng hay ăn mặc lôi thôi
chơkrô̆,vứt
chơkrô̆ chơkră,vứt bỏ nhiều vật không dùng đến
chơkră,bỏ
chơkrĕch,khắng
chơkrĭm,cầm
chơkrŏ,chỉ đồ vật để một chỗ không dùng đến
chơkrơ̆ng,chỉ tóc
chơkrư,chỉ tóc
phim,bóng
chơkŭl,có ro
chơkŭr,khọm
chơkŭr,lọm
chơkôm,thế ngôi hai tay chống cằm
chơkông,giàu sang phú quý
chơkăl,gài then
chơkăl,mắc kẹt
chơkăng,căng
chơkăng,nghiên khắc
yâp,bóng
chơkăt 'bơ̆l,hứa
chơkăt 'bơ̆l,thề
chơkĕnh,trê
chơkŏl,chỉ lưng còng
chơkŏng,giàu sang phụ quý
ƀŏng,bóng
chơkŏr,lọm khọm
tơhning hla 'long,bóng
tơhning hla long,bóng
kơ,bông
kơpaih,bông
chơkơi,thác
chơkơi,to lớn
chơkơ̆,bẩn lên
pơkau,bông
chơkưh,nạy lên
xi,bông
phŏng,bọng
chơlam,một loại ghè
chơlau,buồn rầu
phŏng,bong bóng
păr 'bŏng lŏng,bóng chuyền
chơleng,mù mịt
păr b`o`ng lo`ng,bóng chuyền
chơleng geng gong khă ră dă,tiếng cười rộn rã của cô gái
chơloh,chọc
chơlong,lông đuôi chim
chơlŭt,xô
chơlŭt,đút vào
chơlŭt chơlăt,làm
chơlôih,ăn mặc sang trọng
chơlă,không
chơlă,róc
chơlăt,cây cà na
chơlĕ,vỏn vẹn
chơlĭnh,bậy
chơlŏng,không nghe
chơlŏng,kêu mãi mà không nghe trả lời
chơlơih,thử lần đầu tên
chơlơ̆m,bị vạ cây
chơlưng,hất bằng mõm
đa` b`o`ng lo`ng,bóng đá
chơm,nhảy chồm lên
chơmah,rộng rãi
chơmai,hạt cườm
chơmlang,san bằng
chơmo,hên
chơmreh,nhánh cây
chơmron,nổi
chơmrơ̆p,mập mạp
chơmrưh,lọ lem
chơmuk,nhấn xuống
chơmuk,nhận
đă 'bŏng lŏng,bóng đá
chơmô̆m,mu bàn tay
chơmăng,ngăm đen
chơmŏk,cây dầu lai
chơmŏp,bĩu môi tỏ ý không đồng tình
chơmŏp,chỉ ngồi hay đứng im thin thít
chơnah,phải
phŏng 'nôm,bọng đái
chơneh,gùi nhỏ
mơnhal ũnh chră,bóng đèn
yâp,bóng mát
chơneng,nghiêng
chơner,giấc ngủ ngắn
chơner,một phần tư
chơng,dẫn dắt
chơng brai,trụ
chơng guơng,sải bước dài
chơng rơng,giàn dây leo
chơng rơng,trụ
chơngang,một loại cây lấy mũ làm nhựa dính để bẫy chim
chơnglah,ngã đường
chơnglai,non
chơnglak,ới
chơnglom,dụng có đào lỗ làm bằng tre
chơnglong,lạt lẽo
yui,bóng râm
chơnglơng,vật lớn đổ xuống từng măng
chơnglơ̆ng,trụ
chơngoaih,cào làm bằng tre có răng để cào rác rến
chơngoaih,cái cào làm bằng tre có răng để cào rác rến
chơngong,một loại ghè
chơngong,tha mồi
chơngong,vừa đi vừa ăn
chơngêt,xanh lục đậm
chơngăm,khoai chí
chơngăm,nhiệm tình
chơngăm,quan trọng
chơngĕnh,loại muỗi rim
chơngơi,cười ha hả
yâp,bóng râm
chơnih,thủ bản
chơnin,loại củ rừng
chơnir,nhe răng
chơnit,vỏ  vót
chơnit,vỏ vót
chơnoi,ống đựng lúa trỉa
chơnok,rảnh khoét dọc theo thân ná để đặt mũi tên
chele,bông tai
chơnuh,khoảng rừng bị cháy
chơnôr,"rượu ghè ""kang"" đầu tiên"
chơnôr,rượu ghè kang đầu tiên
chơle,bông tai
chơnă,mọc
chơnĕch,vân vê
chơnĕch,vê
jơle,bông tai
hei,bọt
chơnŭp,dúm
hơnhơy,bọt
chơnơng,của gà
khai,bọt
chơnơr,thức giấc
chơnơr,vèo vèo
chơnơ̆k,cây vào
chơnơ̆n,chính yếu
chơnưh,phần thịt ực
khăi,bọt
kơmluh,bọt
chơphin,ành
kơmuh,bọt
prei,bọt
tơpruh,bọt
chơpleu,hô răng
chơplo,hô răng
chơplâu,hô răng  răng nanh lại ra ngoài
chơplâu,hô răng răng nanh lại ra ngoài
chơplâu,răng nanh
chơplô,hô răng
chơpron,e dè
blôk,bọt
chơprê,đam nhiều nhánh
chơpuih,quét
chơpĕt,thoa bóp
chơpĭl,bướng bỉnh
hai,bọt
chơrau,chim sáo
chơrau,sáo
chơrâu,chỉ nằm để chân lòi ra ngoài
chơrê,chỉ tư thế nằm ngữa
chơrê,tư thế nằm
chơrê chơra,nằm chết ngổn ngang
chơrê chơra,nằm ngữa
chơrô,chỉ nằm để chân lòi ra ngoài
chơt,chỗ nước cạn cá thường đi ăn đêm
chơt,cười
chơt,mừng
chơta,rối bù
chơthơr,chỉ một người nằm chết hay bất tỉnh
chơtuang,thanh kiếm
chơtăng,căng
chơtăng,nghiên
chơtĭt,khắc
chơwa,mạnh
chơwa,tiếng vang vọng lại
chơwei,có hình thoi
chơweu,làm chướng ngại
chơwong,ốm tong teo
chơwâu,làm chướng ngại
chơwê̆,sưng vù
chơwông,nhô ra
chơwông,sưng húp
chơwĕr,sưng vù
chơwơi,chim chèo bẻo
chơwơi,vồ lấy
bôk,bột
bôt,bột
chơđah,nứt
chơđang,nẻ
chơđeh,miếng
chơđeh,mảnh
chơđeh,tấm
chơđong,bẫy lớn
oih,bột
chơ̆,một loại ghè
chơ̆,nhận xuống
chơ̆,nhắc lại lỗi lầm
chơ̆'ba,một loại ghè
chơ̆k,bay bỏng
chơ̆krĭng,một loại ghè
chơ̆m,chấm
phơk,bột
chơ̆m,xăm mình
chơ̆m'bai,chấm bài
chơ̆n,chịu đựng
chơ̆ng,chặt
chơ̆ng,dứt
chơ̆ng,nếu
chơ̆ng,phóng
chơ̆ng krơ̆ng,đi không vững
chơ̆r,khè
chơ̆r,khò
phơ̆k,bột
tơ pŭng,bột
chư,viết
chưk,hất đổ bằng mõm
chưn,ham mê
tơpong,bột
chương,vòng đeo cổ
chư̆,miễn
'bơ̆t,bột
chỗ,buộc
bơ lah,bột
chởp,gấp
chữ yao phu,thấy giảng
ctíing ring,thiếu niên tuổi
bơ lăh,bột
c̆hơc̆hŭl,vào và
bỗt,bột
da,điếm
da da,chim đa đa
dach,luôn
dach,thường xuyên
dah,hoặc
dah,mau
dai,múa
dai,mời
dai,rèn
dai,xệ xuống
dai mai,loại cây có gỗ đỏ
dai wai,điện múa trống cơm đẹp mắt
hĕch,bột
pŭk,bột
đâk,bột
bek,bụ
tơmuh,búa
mut,búa
'băng,bùa
băng,bùa
dang băng,bùa
lơ kat,bùa
pơ gang pơ hlut,bùa
dal,cạn
dal,dịu
dal,mặt đáy bằng
'deng,bùa
buơ,bùa
dal,xung
dam,dây dàm cột vào đầu bò để dắt
deng,bùa
dan,để
dang,bây
dang,bầu
dang,bỗng
dang,chuồn
tơ pam pơm yang,bùa
dang,cào
dang,khắc
dang,mọn
jơ,bữa
dang,tức
dang,xong
dang,ơpliôh (ð bơnôih bơlôh là
dang,ơpliôh ð bơnôih bơlôh là
kơlang,bữa
minhmăng,bữa
wal,bữa
dang bĭch,chỉ tư thế nằm
dang dang,mãi
dang dar,loại nhái nhỏ
dang dăk,loại cào cào màu vàng
xong,bữa
dang dŏt,quỳ
dang dŭk,hàng rào sơ soi
dang dơ̆ng,tư thế đứng
dang hah,loại ốc rất nhỏ
dang har,cây đặt chéo 
dang xơng,chân quỳ chân đứng
dao,kiếm
jơsong,bữa
sŏng,bữa
de de,một loại chim rất nhỏ
de drok,bìm bịp
dech,khéo
deh,bức
deh,chỉ
deh,chờ
deh,mãi
deh,nhanh
deh,như vậy
deh,nở
deh,thấp
deh,đan long mốt
deh,đã rồi
deh,đấy
dei,có
dek,cười
dek,kéo
del,giao cấu
del del,sắp sửa hết
deng,ngải
jơ song sa,bữa ăn
der,chim chìa vôi
a nong xa,bữa ăn
det,vắt
dĕk dơ̆k,nói chuyện chơi
dien,nút thòng lọng
diet,vắt
'nhŏ,bùa mê
dih,cái
dih,của
dih,mong
kơmĭn,bùa mê
dih,đón
kơmưt,bùa mê
dih tong ka,cái nơm
dih tŏh 'ba,cái bồ
dih tŏng ka,cái vó
akơn,bục
'bruih,bụi
dim,chưa
dim,dịu
dim,hiền
dim,hiền lành
'bui,bụi
dim,ăn ít
bruih,bụi
ding,"tiếng ""ầm"" đạn nổ"
ding,tiếng ầm đạn nổ
ding,tùng
bui,bụi
ding,ống tre
ding dit,chim dù dì
ding dơng,tiếng cồng chiêng
ding et xik,cần trúc
diok,một loại ghè
diong,chước
diong,làm theo
diong,theo
diong,theo dõi xa xa
dit dit,chim dù dì
diêl,chắc
diêl,mẩy
diên,diễn
diê̆,vẹt
hmui,bụi
mruih,bụi
diĕn,lâu hết
diĕng,cấm kỵ
diĕng,cử
diĕng,đã làm phép
tơnơm,bụi
uh,bụi
diơ,nói
diơ,tha
djoi,sợi
amui,bụi
djoi brai,sợi
djăl,ngắn
anhui,bụi
do,chậm rì
do tơdo,dài lòng thòng
doa,vị anh hùng dân tộc bana
doan,người có uy
doch,hút
b`ruih,bụi
doh,đan long mốt
doh,đeo
ƀruih,bụi
a bông a bŭi,bụi
dol,lõi cây
dom,bu vào
bơbruih,bụi
don,ghề
'bơ'bruih,bụi bặm
drun,bụi rậm
dong,dài
dong,kinh
dong,ngâm
dong,suốt
dong,thòng
dong,đánh liên hồi
doon,léo
dop,cụp
dra,cái
dra pŏk,kệ
prai bơlah,bún
drang,bộn
drang,hang nhỏ
drang,tắm
drang,đi dạo chơi
drap,sát mặt đất
su`p,bún
drau,sáu
dreh,múa
dreh,thanh que dài
drei,một loại cây
dren,con lậy
dren,lậy
dreng,hạt cườm
dreng,màu vàng
sŭp,bún
kơhluak,bùn
dreng akoy,hạt cười nhỏ 
dreng dơ̆l,hạt cườm có nhiều màu
dreng lao,một loại ghè
trôk,bùn
dreo,reo
dring drit,chỉ hai người đi sát nhau
driêu,hét
driêu,reo
driĕt,đẩy
dro,ở nhà
hlút,bùn
drok,lược
drok,nuốt chửng
drom,nhộng
drom,ở trong kén
lân,bùn
drong,vượt
drong,đi ngang qua
dru,khướu
druai,ngại
druei,ngại
drueng bơbŭk,chỉ dậy nhà to đẹp
druh,đuổi
druh,đuổi đi
drum,khom lưng
drum,nằm
